,1-PGA-1-1
0.000000000000000000e+00,2.102788064448870120e+00
1.000000000000000000e+00,3.447128619063080102e+00
2.000000000000000000e+00,9.827299070409804216e+00
3.000000000000000000e+00,2.776968542106903470e+00
4.000000000000000000e+00,2.152768321248585526e+00
5.000000000000000000e+00,2.141263820711117205e+00
6.000000000000000000e+00,2.123877029315555109e+00
7.000000000000000000e+00,1.339804335384448652e+00
8.000000000000000000e+00,1.899269182088330954e+00
9.000000000000000000e+00,2.701752163826096176e+00
1.000000000000000000e+01,5.470950997828552431e+00
1.100000000000000000e+01,6.675882194032818795e+00
1.200000000000000000e+01,1.856536969434128936e+00
1.300000000000000000e+01,2.368599752640923484e+00
1.400000000000000000e+01,3.232689728720985922e+00
1.500000000000000000e+01,9.136532582235817879e-01
1.600000000000000000e+01,2.365412729726548591e+00
1.700000000000000000e+01,2.040999574731865440e+00
1.800000000000000000e+01,5.102740813138946230e+00
1.900000000000000000e+01,2.256898796478195468e+00
2.000000000000000000e+01,3.220051196028920870e+00
2.100000000000000000e+01,2.356201280960986022e+00
2.200000000000000000e+01,3.929066975043370658e+00
2.300000000000000000e+01,1.183800840727309955e+00
2.400000000000000000e+01,6.679353660698590822e+00
2.500000000000000000e+01,2.097321834191471890e+00
2.600000000000000000e+01,4.733467548807920977e+00
2.700000000000000000e+01,2.765933372504648879e+00
2.800000000000000000e+01,3.340227709728396999e+00
2.900000000000000000e+01,1.937505489175412432e+00
3.000000000000000000e+01,5.753253367006634811e+00
3.100000000000000000e+01,3.802871751939601808e+00
3.200000000000000000e+01,2.533671680063227960e+00
3.300000000000000000e+01,2.545886405440816347e+00
3.400000000000000000e+01,2.486128949121085618e+00
3.500000000000000000e+01,5.119576232543738392e+00
3.600000000000000000e+01,4.905142672205374588e+00
3.700000000000000000e+01,1.770958469202497776e+00
3.800000000000000000e+01,2.814866905496587801e+00
3.900000000000000000e+01,3.701743430942697088e+00
4.000000000000000000e+01,1.900067458317658220e+00
4.100000000000000000e+01,3.185615583345610347e+00
4.200000000000000000e+01,2.707444565082596899e+00
4.300000000000000000e+01,2.756197556169829532e+00
4.400000000000000000e+01,3.073208637716502434e+00
4.500000000000000000e+01,3.674001041999134909e+00
4.600000000000000000e+01,3.257539605785634063e+00
4.700000000000000000e+01,1.941764599116987844e+00
4.800000000000000000e+01,5.616918479456435520e+00
4.900000000000000000e+01,2.856933432309168186e+00
5.000000000000000000e+01,3.914593087737442190e+00
5.100000000000000000e+01,1.512317442469319317e+00
5.200000000000000000e+01,4.979792929412520941e+00
5.300000000000000000e+01,1.885826536253683461e+00
5.400000000000000000e+01,2.213656983687959823e+00
5.500000000000000000e+01,5.766348843979215211e+00
5.600000000000000000e+01,4.119344069719141466e+00
5.700000000000000000e+01,1.787562639205683146e+00
5.800000000000000000e+01,4.465453400577784393e+00
5.900000000000000000e+01,3.233805454103558130e+00
6.000000000000000000e+01,1.673919617242759506e+00
6.100000000000000000e+01,1.733316126488514408e+00
6.200000000000000000e+01,2.704466821407930599e+00
6.300000000000000000e+01,2.703714148807591755e+00
6.400000000000000000e+01,4.623503821698074390e+00
6.500000000000000000e+01,2.334852691431575700e+00
6.600000000000000000e+01,1.669941535600198090e+00
6.700000000000000000e+01,3.180733451587843152e+00
6.800000000000000000e+01,6.164864512338540159e+00
6.900000000000000000e+01,2.308961188905498840e+00
7.000000000000000000e+01,1.835224865914019121e+00
7.100000000000000000e+01,2.867799849533065437e+00
7.200000000000000000e+01,7.582992239632764253e+00
7.300000000000000000e+01,4.248273631382653015e+00
7.400000000000000000e+01,1.672517141555662556e+00
7.500000000000000000e+01,4.201168942622133251e+00
7.600000000000000000e+01,1.215041068940274194e+00
7.700000000000000000e+01,4.177407771461796315e+00
7.800000000000000000e+01,2.821985779323542332e+00
7.900000000000000000e+01,1.376936303411781859e+00
8.000000000000000000e+01,3.823543260536234722e+00
8.100000000000000000e+01,1.751600975344716815e+00
8.200000000000000000e+01,2.767300869828514642e+00
8.300000000000000000e+01,3.085094503164227842e+00
8.400000000000000000e+01,4.937808842429443068e+00
8.500000000000000000e+01,2.628803512203598203e+00
8.600000000000000000e+01,1.461829076322791687e+00
8.700000000000000000e+01,5.338720805462827457e+00
8.800000000000000000e+01,2.599347940420833503e+00
8.900000000000000000e+01,3.621507003662991497e+00
9.000000000000000000e+01,3.492151906364431291e+00
9.100000000000000000e+01,1.825594722383701241e+00
9.200000000000000000e+01,2.152851948902451351e+00
9.300000000000000000e+01,8.379248785081564677e+00
9.400000000000000000e+01,5.834122131927669486e+00
9.500000000000000000e+01,3.457794842624964726e+00
9.600000000000000000e+01,5.704692767152621080e+00
9.700000000000000000e+01,4.920604111801031522e+00
9.800000000000000000e+01,1.971215573958220224e+00
9.900000000000000000e+01,2.219527804858250963e+00
