agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
0,2355,195,7,0,MANDATORY,5582999
1,2355,2260,7,3,MANDATORY,2961231
2,2355,1549,7,2,MANDATORY,5244459
3,1098,2354,7,2,MANDATORY,5244459
4,2355,1355,7,1,MANDATORY,5244459
5,2355,2073,7,5,MANDATORY,5244667
6,2355,2026,8,4,MANDATORY,1714081
7,2355,1667,8,5,MANDATORY,5583377
8,2355,1811,7,0,MANDATORY,3166732
9,2355,486,8,1,MANDATORY,3166705
10,2355,2404,8,3,MANDATORY,2961297
11,2355,1970,7,2,MANDATORY,5213675
12,2355,103,7,4,MANDATORY,5037092
13,2355,520,8,1,MANDATORY,2300534
14,2355,2427,8,2,MANDATORY,598616
15,2355,2286,7,1,MANDATORY,7833688
16,2355,2024,8,3,MANDATORY,3362645
17,2355,1135,7,3,MANDATORY,5583715
18,2355,1274,7,5,MANDATORY,5585034
19,2355,2375,8,5,MANDATORY,7755703
20,2355,1586,7,4,MANDATORY,7755796
21,2355,2686,7,5,MANDATORY,3625448
22,2355,1707,7,5,MANDATORY,105151
23,2355,2092,8,2,MANDATORY,4308768
24,2355,1746,7,1,MANDATORY,3363418
25,2355,1798,8,3,MANDATORY,5245595
26,2355,503,8,5,MANDATORY,2301034
27,2355,248,8,3,MANDATORY,5586039
28,2355,833,7,1,MANDATORY,5587041
29,2355,610,7,1,MANDATORY,1956732
30,2355,2320,8,1,MANDATORY,5586533
31,2355,2582,7,5,MANDATORY,5794180
32,2355,1984,7,5,MANDATORY,319353
33,2355,282,8,3,MANDATORY,6106492
34,2355,856,8,1,MANDATORY,5587877
35,2173,1130,8,1,MANDATORY,5587334
36,2355,2025,8,5,MANDATORY,5588505
37,2355,2091,7,1,MANDATORY,6106582
38,2355,1287,8,3,MANDATORY,3884233
39,2355,1271,7,1,MANDATORY,2301234
40,2355,1995,8,4,MANDATORY,5045964
41,2355,284,8,4,MANDATORY,3048290
42,2355,1656,7,3,MANDATORY,1664190
43,2355,1879,8,4,MANDATORY,2301252
44,2355,2452,7,3,MANDATORY,5975223
45,2355,1784,7,4,MANDATORY,1407617
46,2355,53,7,1,MANDATORY,5589517
47,2355,732,8,2,MANDATORY,256961
48,2355,1205,7,3,MANDATORY,4723528
49,2355,561,8,4,MANDATORY,5589881
50,2355,1658,7,0,MANDATORY,3167797
51,2355,1257,8,0,MANDATORY,7512861
52,2355,2606,8,2,INDIVIDUAL_NON_MANDATORY,5141142
53,2355,2260,7,1,MANDATORY,5141162
54,2355,256,7,2,MANDATORY,5590598
55,2355,192,7,1,MANDATORY,2187183
56,2355,468,7,1,MANDATORY,6106928
57,2355,2632,7,0,MANDATORY,5246763
58,2355,1851,8,1,MANDATORY,5246875
59,2355,1707,8,2,MANDATORY,4968884
60,2355,97,7,1,MANDATORY,3628391
61,2355,2131,8,0,MANDATORY,6107133
62,2355,1808,7,2,INDIVIDUAL_NON_MANDATORY,6595832
63,2355,549,8,2,MANDATORY,2187219
64,2355,1598,7,2,MANDATORY,5247103
65,2355,1056,7,0,MANDATORY,5592855
66,2355,1674,7,2,MANDATORY,3049246
67,2355,1512,7,0,MANDATORY,6595888
68,2355,2001,8,4,MANDATORY,3629196
69,2355,512,7,2,MANDATORY,5247477
70,2355,1494,7,1,MANDATORY,1892688
71,2355,2292,8,5,MANDATORY,3884486
72,2355,529,8,3,MANDATORY,3629674
73,2355,2379,7,2,MANDATORY,5700110
74,1884,1566,8,2,MANDATORY,5594562
75,2355,2713,7,4,MANDATORY,3366262
76,2355,1974,8,0,MANDATORY,1959586
77,2355,246,8,4,MANDATORY,107574
78,2355,276,7,4,MANDATORY,5976382
79,2355,2167,8,4,MANDATORY,1959464
80,2355,1580,8,3,MANDATORY,3630332
81,2355,1844,7,4,MANDATORY,7457298
82,2355,1733,8,4,MANDATORY,1132227
83,2355,833,7,4,INDIVIDUAL_NON_MANDATORY,805799
84,2355,2536,7,3,MANDATORY,599964
85,2355,1086,8,1,MANDATORY,5596214
